budget,runtime,vote_average,vote_count,popularity,release_year,release_month,roi,primary_genre,revenue
5000000.0,139.0,7.0,115.0,11.298195,1992.0,9.0,-0.627439,Thriller,1862805.0
62000000.0,141.0,6.4,390.0,7.513245,1994.0,8.0,2.482059951612903,Action,215887717.0
45000000.0,119.0,6.4,287.0,15.263829,1994.0,7.0,1.6136713555555555,Drama,117615211.0
15000000.0,102.0,7.3,980.0,15.799336,1994.0,5.0,5.266666666666667,Fantasy,94000000.0
46000000.0,91.0,5.0,559.0,15.019586,1994.0,5.0,6.426765391304348,Fantasy,341631208.0
55000000.0,142.0,8.2,8147.0,48.307194,1994.0,7.0,11.326279981818182,Comedy,677945399.0
6000000.0,117.0,6.6,654.0,8.990345,1994.0,3.0,41.45013866666667,Comedy,254700832.0
45000000.0,123.0,5.3,41.0,3.570874,1994.0,6.0,0.3766059333333333,Action,61947267.0
45000000.0,89.0,8.0,5520.0,21.605761,1994.0,6.0,16.516483911111113,Family,788241776.0
35000000.0,140.0,6.0,76.0,5.681522,1993.0,12.0,-0.8611960285714285,Drama,4858139.0
14000000.0,112.0,6.4,297.0,9.860522,1994.0,10.0,0.2921557857142857,Horror,18090181.0
23000000.0,101.0,6.6,2550.0,14.13488,1994.0,7.0,14.286235086956522,Romance,351583407.0
30000000.0,83.0,6.4,535.0,10.587232,1994.0,3.0,0.7044199333333333,Comedy,51132598.0
11500000.0,99.0,6.5,180.0,6.514592,1994.0,2.0,0.7460739130434783,Drama,20079850.0
8000000.0,98.0,6.4,71.0,5.137903,1993.0,7.0,-0.75,Crime,2000000.0
30000000.0,116.0,6.8,1814.0,10.859292,1994.0,6.0,10.681604833333333,Action,350448145.0
27000000.0,99.0,5.5,288.0,8.907074,1994.0,9.0,2.764688185185185,Thriller,101646581.0
115000000.0,141.0,6.8,1138.0,11.396099,1994.0,7.0,2.2946296608695653,Action,378882411.0
63000000.0,191.0,6.5,203.0,9.277147,1994.0,6.0,-0.6023492063492063,Drama,25052000.0
10000000.0,100.0,6.0,31.0,3.021526,1994.0,11.0,1.9392418,Action,29392418.0
7000000.0,119.0,5.9,9.0,0.912909,1994.0,9.0,1.9787887142857143,Crime,20851521.0
35000000.0,102.0,4.1,330.0,13.58449,1994.0,12.0,1.8406720285714286,Action,99423521.0
26000000.0,99.0,4.5,110.0,6.866634,1994.0,11.0,0.4153846153846154,Action,36800000.0
8000000.0,95.0,7.1,307.0,8.497643,1994.0,12.0,0.118325,Horror,8946600.0
34000000.0,139.0,7.0,172.0,8.013617,1993.0,9.0,-0.051310588235294115,Drama,32255440.0
17080000.0,107.0,5.1,42.0,1.896273,1994.0,1.0,0.23018149882903982,Comedy,21011500.0
50000000.0,104.0,5.5,445.0,11.787784,1994.0,5.0,1.38417978,Action,119208989.0
13000000.0,87.0,5.8,102.0,6.559693,1993.0,6.0,-0.9670101538461539,Horror,428868.0
22000000.0,121.0,7.4,447.0,6.115628,1993.0,9.0,-0.21418645454545454,Drama,17287898.0
13000000.0,90.0,3.7,10.0,1.316741,1993.0,9.0,-0.8022965384615385,Drama,2570145.0
30000000.0,144.0,7.7,805.0,8.698509,1993.0,11.0,0.2172004,Action,36516012.0
70000000.0,112.0,6.1,600.0,9.830853,1993.0,5.0,2.642860157142857,Action,255000211.0
40000000.0,121.0,5.4,117.0,14.228963,1994.0,8.0,-0.50684875,Drama,19726050.0
6900000.0,102.0,7.4,588.0,6.8652,1993.0,9.0,0.15841144927536233,Comedy,7993039.0
57000000.0,115.0,6.4,1018.0,11.626116,1993.0,10.0,1.7904520701754385,Crime,159055768.0
30000000.0,94.0,5.7,77.0,8.468869,1993.0,10.0,-0.6284576666666667,Comedy,11146270.0
42000000.0,154.0,6.6,513.0,9.678367,1993.0,6.0,5.434484928571429,Drama,270248367.0
20000000.0,112.0,6.0,429.0,5.990572,1993.0,7.0,6.68493125,Family,153698625.0
44000000.0,130.0,7.2,1240.0,10.08937,1993.0,8.0,7.38354,Adventure,368875760.0
35000000.0,115.0,5.9,44.0,4.653462,1993.0,12.0,-0.4675537142857143,History,18635620.0
18000000.0,97.0,6.1,237.0,7.834351,1993.0,8.0,3.121648722222222,Action,74189677.0
25000000.0,86.0,6.2,463.0,13.482371,1993.0,5.0,4.350113,Action,133752825.0
40000000.0,128.0,6.8,392.0,12.637158,1993.0,7.0,3.4249292,Action,176997168.0
13000000.0,133.0,7.6,363.0,7.405895,1993.0,12.0,4.0612970769230765,Drama,65796862.0
63000000.0,127.0,7.6,4956.0,8.863776,1993.0,6.0,13.604761904761904,Adventure,920100000.0
9000000.0,117.0,6.5,209.0,8.4337,1993.0,9.0,-0.7338632222222222,Thriller,2395231.0
1500000.0,96.0,6.1,111.0,4.948569,1993.0,10.0,-0.7206926666666666,Action,418961.0
85000000.0,130.0,6.1,725.0,9.434006,1993.0,6.0,0.6152763411764706,Adventure,137298489.0
13500000.0,104.0,7.1,169.0,8.939404,1993.0,8.0,-0.16403051851851852,Comedy,11285588.0
3500000.0,97.0,7.2,179.0,5.260924,1993.0,5.0,6.9714285714285715,Drama,27900000.0
55000000.0,133.0,5.8,261.0,13.106291,1996.0,3.0,1.2176221090909092,Action,121969216.0
25000000.0,125.0,7.0,1638.0,11.16553,1993.0,11.0,16.6514478,Comedy,441286195.0
12000000.0,107.0,4.8,202.0,9.9697,1994.0,7.0,0.31891533333333333,Adventure,15826984.0
20000000.0,118.0,6.1,86.0,9.715187,1994.0,4.0,-0.233,Action,15340000.0
30000000.0,138.0,7.2,376.0,8.040589,1993.0,11.0,3.5043666333333334,Crime,135130999.0
26000000.0,125.0,7.6,1019.0,13.373006,1993.0,12.0,6.949170769230769,Drama,206678440.0
7000000.0,121.0,7.1,290.0,7.436758,1993.0,5.0,15.67142857142857,Drama,116700000.0
